InChI,SMILES,VapourPressure_kPa,Temperature_K
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00213,293.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00252,295.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00325,298.1
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00423,301.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00511,303.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00634,306.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00753,308.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.00954,311.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.01119,313.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.01398,316.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.01628,318.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.02031,321.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",CC(C)COc1ccccc1Br,0.02325,323.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00145,290.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00194,293.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00232,295.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00301,298.1
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00389,301.1
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00465,303.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00607,306.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00703,308.1
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.00909,311.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.0106,313.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.01312,316.1
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.01567,318.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.01929,321.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1cccc(Br)c1,0.02231,323.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00151,293.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00242,298.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00304,301.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00351,303.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.0048,306.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00538,308.4
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.00687,311.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.0081,313.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.0101,316.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.01175,318.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.01498,321.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.01699,323.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.0224,326.3
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.02634,328.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.03352,331.2
"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",CC(C)COc1ccc(Br)cc1,0.0391,333.2
"InChI=1S/C11H15BrO/c1-8(2)7-13-11-5-4-9(3)6-10(11)12/h4-6,8H,7H2,1-3H3",Cc1ccc(OCC(C)C)c(Br)c1,0.0006,293.2
"InChI=1S/C11H15BrO/c1-8(2)7-13-11-5-4-9(3)6-10(11)12/h4-6,8H,7H2,1-3H3",Cc1ccc(OCC(C)C)c(Br)c1,0.00076,295.2
"InChI=1S/C11H15BrO/c1-8(2)7-13-11-5-4-9(3)6-10(11)12/h4-6,8H,7H2,1-3H3",Cc1ccc(OCC(C)C)c(Br)c1,0.00103,298.3
