InChI,SMILES,VapourPressure_kPa,Temperature_K
InChI=1S/H2O/h1H2,O,0.866642,277.937
InChI=1S/H2O/h1H2,O,0.849337,277.947
InChI=1S/H2O/h1H2,O,0.867901,277.972
InChI=1S/H2O/h1H2,O,0.871236,278.011
InChI=1S/H2O/h1H2,O,0.868603,278.075
InChI=1S/H2O/h1H2,O,1.211439,282.909
InChI=1S/H2O/h1H2,O,1.215273,282.944
InChI=1S/H2O/h1H2,O,1.196646,282.951
InChI=1S/H2O/h1H2,O,1.223685,283.034
InChI=1S/H2O/h1H2,O,1.686708,288.002
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,0.263,283.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,0.373,288.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,0.521,293.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,0.711,298.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,0.98,303.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,1.289,308.15
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,ClC(Cl)C(Cl)Cl,1.701,313.15
InChI=1S/C2Cl4/c3-1(4)2(5)6,ClC(Cl)=C(Cl)Cl,1.023,283.15
InChI=1S/C2Cl4/c3-1(4)2(5)6,ClC(Cl)=C(Cl)Cl,1.4,288.15
InChI=1S/C2Cl4/c3-1(4)2(5)6,ClC(Cl)=C(Cl)Cl,1.861,293.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.955,283.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.892,283.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.244,283.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,0.948,283.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,0.567,283.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.655,288.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.271,288.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,0.785,288.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.653,293.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.057,293.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.395,298.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.828,303.15
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,c1ccccc1,1.797,283.15
